number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_auc,user_attrs_logloss,user_attrs_mean_best_iter,state
35,0.814448406764063,2026-04-24 01:26:29.321252,2026-04-24 01:26:36.219560,0 days 00:00:06.898308,0.6149539764177173,0.8970593079656565,2.032147782250371,0.020792064024878248,2,4,3,0.018789120076595736,9.307536917833058,0.7933188615814497,0.9052201119364864,0.3799439010972943,1466.6,COMPLETE
36,0.8145634418497641,2026-04-24 01:26:36.222288,2026-04-24 01:26:39.286351,0 days 00:00:03.064063,0.8950835033990593,0.9897657532313181,1.7636697727459678,0.04363491939504959,0,4,9,0.0106060492014534,0.1365808805453948,0.6916170851912615,0.9038426092328279,0.3821990393602999,334.8,COMPLETE
37,0.8182445645922006,2026-04-24 01:26:39.289301,2026-04-24 01:26:42.113644,0 days 00:00:02.824343,0.7042750794506775,0.9894643308676115,0.6978512347650564,0.04403381589575747,0,4,6,0.1550591852530724,0.30027929592845753,0.732981783098213,0.9048496988259532,0.38080503188888315,334.4,COMPLETE
38,0.8142183365926607,2026-04-24 01:26:42.115895,2026-04-24 01:26:45.254237,0 days 00:00:03.138342,0.675446068818807,0.8512622587364251,0.9749850154331274,0.06549462615087417,1,3,1,1.1926261381027528,0.8399945226951585,0.7060042807455607,0.9042311261352587,0.38193676430717005,485.6,COMPLETE
39,0.814448406764063,2026-04-24 01:26:45.256646,2026-04-24 01:26:47.722523,0 days 00:00:02.465877,0.7016408912265146,0.9703201840477623,0.30069055587412163,0.0568580437544431,1,4,5,0.36142732725487803,0.346302153337952,0.8213353325722872,0.9043558676136396,0.38140656866068307,272.4,COMPLETE
40,0.8135281260784539,2026-04-24 01:26:47.724534,2026-04-24 01:26:49.899982,0 days 00:00:02.175448,0.5484096727842835,0.9799434352784546,0.4518411824527182,0.0660044194232463,0,5,9,0.08994502893546737,0.17903304974648027,0.6669524002940501,0.9042082846551307,0.381366799476877,155.4,COMPLETE
41,0.8162889681352813,2026-04-24 01:26:49.902307,2026-04-24 01:26:54.074801,0 days 00:00:04.172494,0.8385650996283242,0.888979771636594,0.46264499660902525,0.018722454106895468,0,7,12,0.00856046063487007,0.041395855585728274,0.7015965757510957,0.9050104626154051,0.3799834717412422,410.4,COMPLETE
42,0.8169791786494881,2026-04-24 01:26:54.076907,2026-04-24 01:26:56.737426,0 days 00:00:02.660519,0.708515876663875,0.9566750359968009,0.6318979889885492,0.0630732274602757,0,3,4,0.12458424116540369,0.051587268668627805,0.6873140170313177,0.9047517160224381,0.3811119203330483,421.2,COMPLETE
43,0.8137581962498562,2026-04-24 01:26:56.739371,2026-04-24 01:26:58.880384,0 days 00:00:02.141013,0.5990217955948817,0.9053665438959247,0.9153460441541046,0.09881769382373354,1,3,5,0.5829272264953624,0.03328375937516958,0.7244824608116517,0.9037068043260651,0.38334676814182805,286.0,COMPLETE
44,0.8149085471068676,2026-04-24 01:26:58.882677,2026-04-24 01:27:01.252601,0 days 00:00:02.369924,0.7388706311082488,0.9994812005948983,0.08625088545726223,0.07656668793110877,1,3,4,0.006136541955785173,0.14867640941289928,0.6255358999718794,0.9040974121635248,0.3827607716256441,317.6,COMPLETE
45,0.8162889681352813,2026-04-24 01:27:01.254535,2026-04-24 01:27:03.705837,0 days 00:00:02.451302,0.6625584424914779,0.9226926015628912,1.0035708843443953,0.04904366182193449,0,5,2,0.05204954758807633,0.10407047646556969,0.7161011447109288,0.9055430158270548,0.3788852592137042,196.8,COMPLETE
46,0.8154837225353733,2026-04-24 01:27:03.708204,2026-04-24 01:27:06.822302,0 days 00:00:03.114098,0.9522427598314759,0.7295509650786691,1.240471914036148,0.054861634154564354,0,3,2,0.03134912489054299,3.8200373063557684,0.8539276745008033,0.904281970264257,0.38181798484531787,571.8,COMPLETE
47,0.8128379155642471,2026-04-24 01:27:06.824610,2026-04-24 01:27:10.193647,0 days 00:00:03.369037,0.9485131581667695,0.626332768076046,0.2954113507676703,0.04101263941962356,0,3,7,0.06824113716048438,0.06466943567733498,0.8686094359653729,0.9035656529778354,0.38295719860760097,605.2,COMPLETE
48,0.8164040032209824,2026-04-24 01:27:10.195612,2026-04-24 01:27:15.547404,0 days 00:00:05.351792,0.8187453690762003,0.7098881969604517,0.12069218873096565,0.01670456346653243,2,4,3,0.05557739366841067,0.005777562211141639,0.7360857142753348,0.9051857041448684,0.3794048215830091,905.2,COMPLETE
49,0.8150235821925688,2026-04-24 01:27:15.550987,2026-04-24 01:27:19.026874,0 days 00:00:03.475887,0.9387832705830921,0.847509209451739,1.7236136326689646,0.02427034224032063,0,5,7,0.01823289910076438,0.004136285791815071,0.7630301144743452,0.9046370586737543,0.38044923248508167,425.0,COMPLETE
50,0.8170942137351892,2026-04-24 01:27:19.029233,2026-04-24 01:27:22.707494,0 days 00:00:03.678261,0.8857276038332701,0.7878200267728102,0.5873254475342773,0.03789269574217509,1,3,3,0.144172362274624,0.09804565821440184,0.7217599180967784,0.9044097025737559,0.3816599390518746,727.0,COMPLETE
51,0.8183595996779017,2026-04-24 01:27:22.709894,2026-04-24 01:27:25.401653,0 days 00:00:02.691759,0.8477152422243057,0.7558719207715136,0.8618915488631986,0.044605349532490325,0,4,2,0.04938453562290928,0.011261693676125827,0.7070887944158195,0.9052171740404329,0.37969659646573306,321.2,COMPLETE
52,0.815253652363971,2026-04-24 01:27:25.403804,2026-04-24 01:27:28.063664,0 days 00:00:02.659860,0.9219748136857427,0.5819173129409587,2.3104572042158145,0.04356655962490351,1,4,1,0.003435775709177955,0.007459484695394189,0.6933445155346927,0.9044362759758977,0.381053603090579,381.4,COMPLETE
53,0.816058897963879,2026-04-24 01:27:28.065659,2026-04-24 01:27:30.688141,0 days 00:00:02.622482,0.8683387571066887,0.7765995542210534,0.6429296309412956,0.05814478621388725,1,3,1,0.10507790996321183,0.2975598739279222,0.6895910103085804,0.9042082846551306,0.38238550981518127,431.6,COMPLETE
54,0.8149085471068676,2026-04-24 01:27:30.690122,2026-04-24 01:27:35.056954,0 days 00:00:04.366832,0.9660180199758848,0.6702714170271397,0.36919569566436083,0.027943436853798596,1,3,2,0.21632608727138802,0.006315276011100572,0.6846069139612647,0.9040719768652596,0.382273719672983,931.0,COMPLETE
55,0.814333371678362,2026-04-24 01:27:35.059065,2026-04-24 01:27:40.014903,0 days 00:00:04.955838,0.7337053211234201,0.8465716312355942,3.158964566659294,0.015743521453953635,6,4,5,0.051627038016742476,6.588398809757447,0.9585086547077101,0.9017489480479401,0.3878039497031635,1443.8,COMPLETE
56,0.8180144944207983,2026-04-24 01:27:40.016842,2026-04-24 01:27:43.298843,0 days 00:00:03.282001,0.7317549906618925,0.6865002209842823,1.7785356805717627,0.029373175628069615,2,4,6,0.09951725211988727,0.09060854833236019,0.7774396628582738,0.9051287195484427,0.3800271357357841,543.8,COMPLETE
57,0.8149085471068676,2026-04-24 01:27:43.300845,2026-04-24 01:27:46.320514,0 days 00:00:03.019669,0.6883655685198148,0.650604127350199,1.893390199883871,0.044079662992742,0,3,6,0.016905612821238262,0.19159445326202593,0.7503421310214504,0.903844567830197,0.3828250434253721,562.0,COMPLETE
58,0.8129529506499482,2026-04-24 01:27:46.322541,2026-04-24 01:27:50.128708,0 days 00:00:03.806167,0.6384022579215322,0.7035728638651467,1.009527125567612,0.020310499956577955,2,6,2,0.058561618758868776,0.08851912996959668,0.857047237594948,0.9058472071724893,0.37774822816273906,443.8,COMPLETE
59,0.8155987576210745,2026-04-24 01:27:50.130755,2026-04-24 01:27:54.031705,0 days 00:00:03.900950,0.6489359030529283,0.8199598813658762,2.054922413767879,0.029672440047085417,4,4,4,0.0010676313523035525,4.19960458848478,0.874780841346063,0.9049260841233451,0.38021864378929693,914.0,COMPLETE
